Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCC1)Cc1ccccc1Cl	ZINC00629272
Cc1ccccc1OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CCCC1)C)O	ZINC00629365
Cc1ccccc1OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CCCC1)C)O	ZINC00629367
Cc1ccccc1OC[C@@H](Cn1c2c(nc1N1CCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00629369
Cc1ccccc1OC[C@H](Cn1c2c(nc1N1CCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00629373
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCC1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00629377
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00629379
Cc1ccccc1OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccco1)C)O	ZINC00629395
Cc1ccccc1OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccco1)C)O	ZINC00629399
Cc1ccccc1OC[C@@H](Cn1c2c(nc1NCc1ccco1)n(c(=O)n(c2=O)C)C)O	ZINC00629403
Cc1ccccc1OC[C@H](Cn1c2c(nc1NCc1ccco1)n(c(=O)n(c2=O)C)C)O	ZINC00629406
CC(C)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccco1)C)O	ZINC00629409
CC(C)OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccco1)C)O	ZINC00629410
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00629413
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)C[C@H](COc1ccc(cc1)OC)O	ZINC00629418
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccco1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00629423
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCc1ccco1)C[C@H](COc1ccc(cc1)OC)O	ZINC00629428
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCc1ccccc1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00629922
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NCCc1ccccc1)C[C@H](COc1ccc(cc1)OC)O	ZINC00629927
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCC1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00629932
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCC1)C[C@H](COc1ccc(cc1)OC)O	ZINC00629937
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCOCC1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00629956
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCOCC1)C[C@H](COc1ccc(cc1)OC)O	ZINC00629960
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCCC1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00629963
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCCC1)C[C@H](COc1ccc(cc1)OC)O	ZINC00629968
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NC1CCCCC1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00629972
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)NC1CCCCC1)C[C@H](COc1ccc(cc1)OC)O	ZINC00629978
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCC1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00629981
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCC1)C[C@H](COc1ccc(cc1)OC)O	ZINC00629985
CCNc1nc2c(n1C[C@@H](COc1ccc(cc1)OC)O)c(=O)n(c(=O)n2C)C	ZINC00630002
CCNc1nc2c(n1C[C@H](COc1ccc(cc1)OC)O)c(=O)n(c(=O)n2C)C	ZINC00630006
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCC1)C[C@@H](COc1ccc(cc1)OC)O	ZINC00630010
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCC1)C[C@H](COc1ccc(cc1)OC)O	ZINC00630013
Cc1cccn2c1nc1c(c2=O)cc(n1C)C(=O)NC[C@H]1COc2ccccc2O1	ZINC00631227
Cc1cccn2c1nc1c(c2=O)cc(n1C)C(=O)NC[C@@H]1COc2ccccc2O1	ZINC00631228
CC(C)CCn1c2c(=O)[nH]c(=O)n(c2nc1N1CCN(CC1)c1ccc(cc1)OC)C	ZINC00631616
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCC1)C[C@@H](COc1ccc(cc1)Cl)O	ZINC00632451
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCC1)C[C@H](COc1ccc(cc1)Cl)O	ZINC00632456
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccccc1)C[C@@H](COc1ccccc1)O	ZINC00632459
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccccc1)C[C@H](COc1ccccc1)O	ZINC00632464
CCNc1nc2c(n1C[C@@H](COc1ccc(cc1)Cl)O)c(=O)[nH]c(=O)n2C	ZINC00632469
CCNc1nc2c(n1C[C@H](COc1ccc(cc1)Cl)O)c(=O)[nH]c(=O)n2C	ZINC00632474
CC(C)OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N(C)Cc1ccccc1)C)O	ZINC00633101
